image,actual,rater,estimate,method,error,abs_error
set_12_5_obj2.png,0,R2OLD,0,aidedold,0,0
set_12_5_obj2.png,0,R1NEW,0,aidednew,0,0
set_12_5_obj2.png,0,R2NEW,0,aidednew,0,0
set_12_51_obj0.png,16.63,R1OLD,24,aidedold,7.370000000000001,7.370000000000001
set_12_51_obj0.png,16.63,R2OLD,10,aidedold,-6.629999999999999,6.629999999999999
set_12_51_obj0.png,16.63,R1NEW,25,aidednew,8.370000000000001,8.370000000000001
set_12_51_obj0.png,16.63,R2NEW,15,aidednew,-1.629999999999999,1.629999999999999
set_12_53_obj3.png,0.27,R1OLD,0.2,aidedold,-0.07,0.07
set_12_53_obj3.png,0.27,R2OLD,0.1,aidedold,-0.17,0.17
set_12_53_obj3.png,0.27,R1NEW,0.25,aidednew,-0.020000000000000018,0.020000000000000018
set_12_53_obj3.png,0.27,R2NEW,0.2,aidednew,-0.07,0.07
set_12_54_obj0.png,4.33,R1OLD,5,aidedold,0.6699999999999999,0.6699999999999999
set_12_54_obj0.png,4.33,R2OLD,4.5,aidedold,0.16999999999999993,0.16999999999999993
set_12_54_obj0.png,4.33,R1NEW,6,aidednew,1.67,1.67
set_12_54_obj0.png,4.33,R2NEW,4,aidednew,-0.33000000000000007,0.33000000000000007
set_12_57_obj2.png,7.81,R1OLD,8,aidedold,0.1900000000000004,0.1900000000000004
set_12_57_obj2.png,7.81,R2OLD,6,aidedold,-1.8099999999999996,1.8099999999999996
set_12_57_obj2.png,7.81,R1NEW,10,aidednew,2.1900000000000004,2.1900000000000004
set_12_57_obj2.png,7.81,R2NEW,7,aidednew,-0.8099999999999996,0.8099999999999996
set_12_57_obj3.png,5.18,R1OLD,0.5,aidedold,-4.68,4.68
set_12_57_obj3.png,5.18,R2OLD,0.2,aidedold,-4.9799999999999995,4.9799999999999995
set_12_57_obj3.png,5.18,R1NEW,2,aidednew,-3.1799999999999997,3.1799999999999997
set_12_57_obj3.png,5.18,R2NEW,4,aidednew,-1.1799999999999997,1.1799999999999997
set_12_66_obj1.png,0,R1OLD,0,aidedold,0,0
set_12_66_obj1.png,0,R2OLD,0,aidedold,0,0
set_12_66_obj1.png,0,R1NEW,0,aidednew,0,0
set_12_66_obj1.png,0,R2NEW,0,aidednew,0,0
set_12_66_obj2.png,0,R1OLD,0.2,aidedold,0.2,0.2
set_12_66_obj2.png,0,R2OLD,0,aidedold,0,0
set_12_66_obj2.png,0,R1NEW,0.7,aidednew,0.7,0.7
set_12_66_obj2.png,0,R2NEW,0,aidednew,0,0
set_12_68_obj1.png,0.33,R1OLD,0,aidedold,-0.33,0.33
set_12_68_obj1.png,0.33,R2OLD,0,aidedold,-0.33,0.33
set_12_68_obj1.png,0.33,R1NEW,0.7,aidednew,0.36999999999999994,0.36999999999999994
set_12_68_obj1.png,0.33,R2NEW,0,aidednew,-0.33,0.33
set_12_7_obj2.png,0,R1OLD,0,aidedold,0,0
set_12_7_obj2.png,0,R2OLD,0,aidedold,0,0
set_12_7_obj2.png,0,R1NEW,0,aidednew,0,0
set_12_7_obj2.png,0,R2NEW,0,aidednew,0,0
set_12_7_obj3.png,2.49,R1OLD,0.5,aidedold,-1.9900000000000002,1.9900000000000002
set_12_7_obj3.png,2.49,R2OLD,1.5,aidedold,-0.9900000000000002,0.9900000000000002
set_12_7_obj3.png,2.49,R1NEW,0.5,aidednew,-1.9900000000000002,1.9900000000000002
set_12_7_obj3.png,2.49,R2NEW,1,aidednew,-1.4900000000000002,1.4900000000000002
set_12_74_obj0.png,7.88,R1OLD,5,aidedold,-2.88,2.88
set_12_74_obj0.png,7.88,R2OLD,5.6,aidedold,-2.2800000000000002,2.2800000000000002
set_12_74_obj0.png,7.88,R1NEW,6,aidednew,-1.88,1.88
set_12_74_obj0.png,7.88,R2NEW,5,aidednew,-2.88,2.88
set_12_74_obj1.png,2.01,R1OLD,1.5,aidedold,-0.5099999999999998,0.5099999999999998
set_12_74_obj1.png,2.01,R2OLD,1.2,aidedold,-0.8099999999999998,0.8099999999999998
set_12_74_obj1.png,2.01,R1NEW,1.5,aidednew,-0.5099999999999998,0.5099999999999998
set_12_74_obj1.png,2.01,R2NEW,1.2,aidednew,-0.8099999999999998,0.8099999999999998
set_12_74_obj2.png,1.16,R1OLD,1.2,aidedold,0.040000000000000036,0.040000000000000036
set_12_74_obj2.png,1.16,R2OLD,0.8,aidedold,-0.3599999999999999,0.3599999999999999
set_12_74_obj2.png,1.16,R1NEW,1.5,aidednew,0.3400000000000001,0.3400000000000001
set_12_74_obj2.png,1.16,R2NEW,1,aidednew,-0.15999999999999992,0.15999999999999992
set_12_77_obj3.png,3.64,R1OLD,4.7,aidedold,1.06,1.06
set_12_77_obj3.png,3.64,R2OLD,7,aidedold,3.36,3.36
set_12_77_obj3.png,3.64,R1NEW,6,aidednew,2.36,2.36
set_12_77_obj3.png,3.64,R2NEW,8,aidednew,4.359999999999999,4.359999999999999
set_12_78_obj0.png,1.45,R1OLD,1.1,aidedold,-0.34999999999999987,0.34999999999999987
set_12_78_obj0.png,1.45,R2OLD,2,aidedold,0.55,0.55
set_12_78_obj0.png,1.45,R1NEW,1.1,aidednew,-0.34999999999999987,0.34999999999999987
set_12_78_obj0.png,1.45,R2NEW,2,aidednew,0.55,0.55
set_12_78_obj1.png,8.79,R1OLD,12,aidedold,3.210000000000001,3.210000000000001
set_12_78_obj1.png,8.79,R2OLD,6,aidedold,-2.789999999999999,2.789999999999999
set_12_78_obj1.png,8.79,R1NEW,10,aidednew,1.2100000000000009,1.2100000000000009
set_12_78_obj1.png,8.79,R2NEW,10,aidednew,1.2100000000000009,1.2100000000000009
set_15_11_obj2.png,11.2,R1OLD,4,aidedold,-7.199999999999999,7.199999999999999
set_15_11_obj2.png,11.2,R2OLD,4.7,aidedold,-6.499999999999999,6.499999999999999
set_15_11_obj2.png,11.2,R1NEW,3,aidednew,-8.2,8.2
set_15_11_obj2.png,11.2,R2NEW,8,aidednew,-3.1999999999999993,3.1999999999999993
set_15_11_obj3.png,3.65,R1OLD,3.5,aidedold,-0.1499999999999999,0.1499999999999999
set_15_11_obj3.png,3.65,R2OLD,2.5,aidedold,-1.15,1.15
set_15_11_obj3.png,3.65,R1NEW,2.8,aidednew,-0.8500000000000001,0.8500000000000001
set_15_11_obj3.png,3.65,R2NEW,3.2,aidednew,-0.44999999999999973,0.44999999999999973
set_15_12_obj0.png,6.77,R1OLD,3.5,aidedold,-3.2699999999999996,3.2699999999999996
set_15_12_obj0.png,6.77,R2OLD,1.5,aidedold,-5.27,5.27
set_15_12_obj0.png,6.77,R1NEW,5,aidednew,-1.7699999999999996,1.7699999999999996
set_15_12_obj0.png,6.77,R2NEW,1.1,aidednew,-5.67,5.67
set_15_12_obj1.png,12.19,R1OLD,2,aidedold,-10.19,10.19
set_15_12_obj1.png,12.19,R2OLD,5.5,aidedold,-6.6899999999999995,6.6899999999999995
set_15_12_obj1.png,12.19,R1NEW,3,aidednew,-9.19,9.19
set_15_12_obj1.png,12.19,R2NEW,7,aidednew,-5.1899999999999995,5.1899999999999995
set_15_13_obj1.png,14.57,R1OLD,12,aidedold,-2.5700000000000003,2.5700000000000003
set_15_13_obj1.png,14.57,R2OLD,12.6,aidedold,-1.9700000000000006,1.9700000000000006
set_15_13_obj1.png,14.57,R1NEW,15,aidednew,0.4299999999999997,0.4299999999999997
