image,actual,rater,estimate,method,error,abs_error
set_16_55_obj0.png,16.69,R1NEW,16,aidednew,-0.6900000000000013,0.6900000000000013
set_16_55_obj0.png,16.69,R2NEW,20,aidednew,3.3099999999999987,3.3099999999999987
set_16_6_obj3.png,11.36,R1OLD,12,aidedold,0.6400000000000006,0.6400000000000006
set_16_6_obj3.png,11.36,R2OLD,10,aidedold,-1.3599999999999994,1.3599999999999994
set_16_6_obj3.png,11.36,R1NEW,8,aidednew,-3.3599999999999994,3.3599999999999994
set_16_6_obj3.png,11.36,R2NEW,12,aidednew,0.6400000000000006,0.6400000000000006
set_16_62_obj0.png,16.59,R1OLD,13,aidedold,-3.59,3.59
set_16_62_obj0.png,16.59,R2OLD,15,aidedold,-1.5899999999999999,1.5899999999999999
set_16_62_obj0.png,16.59,R1NEW,13,aidednew,-3.59,3.59
set_16_62_obj0.png,16.59,R2NEW,15,aidednew,-1.5899999999999999,1.5899999999999999
set_16_63_obj3.png,6.83,R1OLD,14,aidedold,7.17,7.17
set_16_63_obj3.png,6.83,R2OLD,10,aidedold,3.17,3.17
set_16_63_obj3.png,6.83,R1NEW,9.5,aidednew,2.67,2.67
set_16_63_obj3.png,6.83,R2NEW,5.6,aidednew,-1.2300000000000004,1.2300000000000004
set_16_64_obj0.png,22.85,R1OLD,9,aidedold,-13.850000000000001,13.850000000000001
set_16_64_obj0.png,22.85,R2OLD,15,aidedold,-7.850000000000001,7.850000000000001
set_16_64_obj0.png,22.85,R1NEW,9,aidednew,-13.850000000000001,13.850000000000001
set_16_64_obj0.png,22.85,R2NEW,12,aidednew,-10.850000000000001,10.850000000000001
set_16_64_obj1.png,33.85,R1OLD,47,aidedold,13.149999999999999,13.149999999999999
set_16_64_obj1.png,33.85,R2OLD,50,aidedold,16.15,16.15
set_16_64_obj1.png,33.85,R1NEW,53,aidednew,19.15,19.15
set_16_64_obj1.png,33.85,R2NEW,50,aidednew,16.15,16.15
set_16_64_obj2.png,7.95,R1OLD,2.8,aidedold,-5.15,5.15
set_16_64_obj2.png,7.95,R2OLD,4,aidedold,-3.95,3.95
set_16_64_obj2.png,7.95,R1NEW,3,aidednew,-4.95,4.95
set_16_64_obj2.png,7.95,R2NEW,4.5,aidednew,-3.45,3.45
set_16_67_obj0.png,14.57,R1OLD,12.3,aidedold,-2.2699999999999996,2.2699999999999996
set_16_67_obj0.png,14.57,R2OLD,10,aidedold,-4.57,4.57
set_16_67_obj0.png,14.57,R1NEW,14,aidednew,-0.5700000000000003,0.5700000000000003
set_16_67_obj0.png,14.57,R2NEW,10,aidednew,-4.57,4.57
set_16_7_obj2.png,5.17,R1OLD,1.5,aidedold,-3.67,3.67
set_16_7_obj2.png,5.17,R2OLD,3,aidedold,-2.17,2.17
set_16_7_obj2.png,5.17,R1NEW,2,aidednew,-3.17,3.17
set_16_7_obj2.png,5.17,R2NEW,3,aidednew,-2.17,2.17
set_16_71_obj3.png,14.06,R1OLD,16,aidedold,1.9399999999999995,1.9399999999999995
set_16_71_obj3.png,14.06,R2OLD,17,aidedold,2.9399999999999995,2.9399999999999995
set_16_71_obj3.png,14.06,R1NEW,17,aidednew,2.9399999999999995,2.9399999999999995
set_16_71_obj3.png,14.06,R2NEW,20,aidednew,5.9399999999999995,5.9399999999999995
set_16_75_obj0.png,1.54,R1OLD,1,aidedold,-0.54,0.54
set_16_75_obj0.png,1.54,R2OLD,1.2,aidedold,-0.3400000000000001,0.3400000000000001
set_16_75_obj0.png,1.54,R1NEW,1,aidednew,-0.54,0.54
set_16_75_obj0.png,1.54,R2NEW,1,aidednew,-0.54,0.54
set_16_75_obj1.png,4.01,R1OLD,2,aidedold,-2.01,2.01
set_16_75_obj1.png,4.01,R2OLD,2.4,aidedold,-1.6099999999999999,1.6099999999999999
set_16_75_obj1.png,4.01,R1NEW,2,aidednew,-2.01,2.01
set_16_75_obj1.png,4.01,R2NEW,2,aidednew,-2.01,2.01
set_16_75_obj2.png,1.14,R1OLD,1,aidedold,-0.1399999999999999,0.1399999999999999
set_16_75_obj2.png,1.14,R2OLD,0.5,aidedold,-0.6399999999999999,0.6399999999999999
set_16_75_obj2.png,1.14,R1NEW,0.8,aidednew,-0.33999999999999986,0.33999999999999986
set_16_75_obj2.png,1.14,R2NEW,0.8,aidednew,-0.33999999999999986,0.33999999999999986
set_16_79_obj1.png,18.94,R1OLD,17,aidedold,-1.9400000000000013,1.9400000000000013
set_16_79_obj1.png,18.94,R2OLD,18,aidedold,-0.9400000000000013,0.9400000000000013
set_16_79_obj1.png,18.94,R1NEW,15,aidednew,-3.9400000000000013,3.9400000000000013
set_16_79_obj1.png,18.94,R2NEW,20,aidednew,1.0599999999999987,1.0599999999999987
set_16_86_obj0.png,19.69,R1OLD,14,aidedold,-5.690000000000001,5.690000000000001
set_16_86_obj0.png,19.69,R2OLD,10,aidedold,-9.690000000000001,9.690000000000001
set_16_86_obj0.png,19.69,R1NEW,20,aidednew,0.3099999999999987,0.3099999999999987
set_16_86_obj0.png,19.69,R2NEW,12,aidednew,-7.690000000000001,7.690000000000001
